"id","weight40","sex","Cluster","Cluster_labels"
516812000,1.24940466880798,0,4,"Late & Diverse Transitions"
517179000,1.31274557113647,1,5,"Delayed Union Formation"
517629000,1.54908311367035,1,2,"Early Family Formation"
517912000,2.11295652389526,0,4,"Late & Diverse Transitions"
518344000,1.65794730186462,0,4,"Late & Diverse Transitions"
518528000,2.20305013656616,0,1,"Persistent Single"
519340000,1.15418601036072,0,2,"Early Family Formation"
519780000,1.07540535926819,0,5,"Delayed Union Formation"
520530000,0.409966737031937,1,4,"Late & Diverse Transitions"
520546000,0.775818347930908,1,1,"Persistent Single"
521973000,2.32685708999634,0,1,"Persistent Single"
522136000,1.3436244726181,0,1,"Persistent Single"
524183000,1.82064807415009,0,2,"Early Family Formation"
525223000,0.597416281700134,1,1,"Persistent Single"
528051000,1.37667942047119,0,2,"Early Family Formation"
530260000,0.435709565877914,0,4,"Late & Diverse Transitions"
530544000,0.83732146024704,1,2,"Early Family Formation"
533514000,0.99398547410965,0,1,"Persistent Single"
538244000,2.29828524589539,0,1,"Persistent Single"
538852000,1.64395487308502,0,2,"Early Family Formation"
538975000,5.38093852996826,0,2,"Early Family Formation"
538988000,1.02701842784882,1,5,"Delayed Union Formation"
539311000,2.11426281929016,1,2,"Early Family Formation"
540156000,1.7771532535553,0,5,"Delayed Union Formation"
540254000,2.28750467300415,0,5,"Delayed Union Formation"
541051000,1.47623193264008,1,1,"Persistent Single"
542101000,1.01245331764221,0,1,"Persistent Single"
546156000,1.2409280538559,0,5,"Delayed Union Formation"
546599000,0.617181956768036,0,5,"Delayed Union Formation"
547201000,1.04620218276978,1,1,"Persistent Single"
548296000,3.40492606163025,0,2,"Early Family Formation"
548388000,0.732019901275635,1,5,"Delayed Union Formation"
551150000,1.24934756755829,1,3,"Stable Married, One Child"
552453000,0.404475390911102,0,3,"Stable Married, One Child"
553086000,1.24892127513885,1,3,"Stable Married, One Child"
553539000,1.59789252281189,0,2,"Early Family Formation"
554148000,1.14816212654114,0,2,"Early Family Formation"
554340000,0.91794228553772,1,1,"Persistent Single"
554588000,0.494736820459366,1,2,"Early Family Formation"
555892000,1.02984893321991,0,3,"Stable Married, One Child"
556488000,0.789419770240784,0,2,"Early Family Formation"
557149000,0.956565320491791,1,1,"Persistent Single"
557986000,1.7201429605484,1,4,"Late & Diverse Transitions"
558427000,1.13702094554901,0,3,"Stable Married, One Child"
559054000,0.250621318817139,1,5,"Delayed Union Formation"
559344000,2.48562932014465,0,4,"Late & Diverse Transitions"
559422000,0.511237680912018,1,4,"Late & Diverse Transitions"
560620000,2.21117401123047,0,2,"Early Family Formation"
560686000,0.376362293958664,1,1,"Persistent Single"
561275000,1.746098279953,1,5,"Delayed Union Formation"
562135000,0.749937772750854,1,1,"Persistent Single"
562989000,2.38947463035583,0,2,"Early Family Formation"
563655000,1.18407893180847,0,5,"Delayed Union Formation"
565927000,1.90036749839783,0,2,"Early Family Formation"
565951000,1.4047372341156,0,2,"Early Family Formation"
566284000,1.85537779331207,0,4,"Late & Diverse Transitions"
567169000,1.19600975513458,1,1,"Persistent Single"
567250000,0.948982536792755,1,1,"Persistent Single"
567262000,1.75606870651245,1,1,"Persistent Single"
567471000,0.974917769432068,1,1,"Persistent Single"
567943000,1.36906158924103,1,2,"Early Family Formation"
567969000,0.377863734960556,1,4,"Late & Diverse Transitions"
568115000,0.748575627803802,0,2,"Early Family Formation"
568859000,0.701844871044159,1,2,"Early Family Formation"
569321000,0.810755252838135,1,3,"Stable Married, One Child"
570234000,1.42438137531281,1,5,"Delayed Union Formation"
571332000,1.01938438415527,0,2,"Early Family Formation"
574608000,1.58598041534424,0,1,"Persistent Single"
574793000,0.317420214414597,1,1,"Persistent Single"
574874000,0.438032805919647,0,1,"Persistent Single"
575612000,0.443281143903732,1,3,"Stable Married, One Child"
576429000,0.823098242282867,1,1,"Persistent Single"
576531000,0.832978308200836,0,2,"Early Family Formation"
577550000,4.45566368103027,0,5,"Delayed Union Formation"
580621000,1.05900168418884,1,1,"Persistent Single"
581732000,0.786349356174469,1,5,"Delayed Union Formation"
582841000,1.33215391635895,1,5,"Delayed Union Formation"
584860000,0.681334495544434,0,5,"Delayed Union Formation"
585131000,1.20206892490387,0,3,"Stable Married, One Child"
585200000,0.403881251811981,1,2,"Early Family Formation"
586363000,0.750451266765594,1,3,"Stable Married, One Child"
588987000,0.400913327932358,1,5,"Delayed Union Formation"
589501000,1.85354518890381,1,1,"Persistent Single"
589975000,0.928440511226654,1,1,"Persistent Single"
590154000,2.59714293479919,0,2,"Early Family Formation"
591101000,0.871408402919769,0,4,"Late & Diverse Transitions"
592091000,1.98248696327209,1,5,"Delayed Union Formation"
592110000,0.68392950296402,0,3,"Stable Married, One Child"
594009000,0.606422662734985,0,2,"Early Family Formation"
595967000,0.656785786151886,0,4,"Late & Diverse Transitions"
596992000,1.14560854434967,1,1,"Persistent Single"
597481000,2.39609503746033,0,2,"Early Family Formation"
598516000,0.633295893669128,0,5,"Delayed Union Formation"
599022000,2.0438334941864,0,1,"Persistent Single"
599289000,1.23535239696503,1,5,"Delayed Union Formation"
600142000,1.75579369068146,1,5,"Delayed Union Formation"
603111000,4.41705560684204,0,2,"Early Family Formation"
603203000,2.42330384254456,0,1,"Persistent Single"
603555000,1.89414978027344,0,5,"Delayed Union Formation"
603576000,1.0421667098999,1,1,"Persistent Single"
603920000,1.51143026351929,0,3,"Stable Married, One Child"
604781000,2.44694209098816,0,2,"Early Family Formation"
605351000,0.727600991725922,1,5,"Delayed Union Formation"
605552000,0.929958462715149,1,4,"Late & Diverse Transitions"
606462000,0.793757259845734,0,2,"Early Family Formation"
609745000,0.806508719921112,0,4,"Late & Diverse Transitions"
609910000,0.814663529396057,1,5,"Delayed Union Formation"
610681000,1.58434343338013,1,5,"Delayed Union Formation"
616907000,0.389460682868958,1,4,"Late & Diverse Transitions"
617637000,0.595874309539795,0,1,"Persistent Single"
617966000,1.09833812713623,0,2,"Early Family Formation"
619236000,0.50504469871521,1,4,"Late & Diverse Transitions"
619445000,0.702712118625641,0,4,"Late & Diverse Transitions"
619683000,1.1322283744812,1,5,"Delayed Union Formation"
620227000,1.24868369102478,0,3,"Stable Married, One Child"
620648000,1.67794024944305,0,1,"Persistent Single"
621137000,0.984670758247375,1,1,"Persistent Single"
621235000,0.448389917612076,0,5,"Delayed Union Formation"
621558000,2.19839525222778,0,4,"Late & Diverse Transitions"
623207000,2.18067669868469,1,2,"Early Family Formation"
624625000,1.76365292072296,1,4,"Late & Diverse Transitions"
625231000,0.472427725791931,1,3,"Stable Married, One Child"
625582000,4.41184854507446,1,2,"Early Family Formation"
626243000,1.32376050949097,1,5,"Delayed Union Formation"
626592000,0.776988208293915,1,1,"Persistent Single"
6.28e+08,2.79455757141113,1,3,"Stable Married, One Child"
629309000,1.16226994991302,0,2,"Early Family Formation"
630132000,0.354353576898575,1,4,"Late & Diverse Transitions"
630336000,1.53556156158447,1,5,"Delayed Union Formation"
634885000,0.914848208427429,0,2,"Early Family Formation"
636188000,1.31559252738953,1,5,"Delayed Union Formation"
636274000,1.54191839694977,1,1,"Persistent Single"
637090000,0.578081607818604,1,3,"Stable Married, One Child"
637847000,1.45601737499237,1,1,"Persistent Single"
639624000,1.93470442295074,0,2,"Early Family Formation"
640709000,1.29970729351044,1,1,"Persistent Single"
640711000,1.23353207111359,0,1,"Persistent Single"
641284000,1.09644842147827,0,2,"Early Family Formation"
645179000,1.08395600318909,1,3,"Stable Married, One Child"
648256000,2.72311973571777,1,2,"Early Family Formation"
648494000,2.62238097190857,0,2,"Early Family Formation"
650772000,0.719650506973267,1,1,"Persistent Single"
651911000,1.14196741580963,1,2,"Early Family Formation"
653138000,0.523100674152374,0,3,"Stable Married, One Child"
653994000,0.951521694660187,0,1,"Persistent Single"
655900000,1.00697290897369,0,1,"Persistent Single"
657037000,2.05171942710876,1,2,"Early Family Formation"
658058000,1.98162519931793,0,1,"Persistent Single"
659381000,1.36728501319885,0,2,"Early Family Formation"
660174000,1.70590090751648,1,5,"Delayed Union Formation"
662248000,1.45303535461426,0,2,"Early Family Formation"
663544000,2.35279583930969,0,5,"Delayed Union Formation"
664073000,1.72347831726074,0,2,"Early Family Formation"
664691000,1.86052119731903,1,2,"Early Family Formation"
665243000,2.54048585891724,1,2,"Early Family Formation"
665804000,0.525204658508301,0,2,"Early Family Formation"
667052000,0.240635961294174,1,3,"Stable Married, One Child"
667489000,0.902597725391388,0,2,"Early Family Formation"
667569000,1.06341850757599,0,1,"Persistent Single"
671418000,1.84522700309753,0,2,"Early Family Formation"
672709000,0.757939577102661,1,5,"Delayed Union Formation"
673735000,1.3342376947403,1,5,"Delayed Union Formation"
674485000,0.533643782138824,0,2,"Early Family Formation"
674571000,0.975294470787048,0,5,"Delayed Union Formation"
674657000,1.12578856945038,0,1,"Persistent Single"
674723000,1.02173948287964,0,5,"Delayed Union Formation"
675320000,0.963889896869659,0,5,"Delayed Union Formation"
675690000,1.38313138484955,0,4,"Late & Diverse Transitions"
675845000,0.329516023397446,1,4,"Late & Diverse Transitions"
676334000,0.938244163990021,0,2,"Early Family Formation"
676481000,2.75615644454956,1,1,"Persistent Single"
676846000,0.77388322353363,1,1,"Persistent Single"
677636000,1.50182223320007,1,4,"Late & Diverse Transitions"
680018000,1.27895188331604,1,1,"Persistent Single"
680152000,1.06329262256622,0,1,"Persistent Single"
680712000,1.65325820446014,1,4,"Late & Diverse Transitions"
680987000,0.248271256685257,1,3,"Stable Married, One Child"
681407000,1.11957907676697,0,2,"Early Family Formation"
684807000,0.68215399980545,1,5,"Delayed Union Formation"
685371000,0.773203730583191,1,1,"Persistent Single"
685393000,0.901767194271088,1,4,"Late & Diverse Transitions"
685561000,1.64084899425507,0,5,"Delayed Union Formation"
686945000,0.732123136520386,1,2,"Early Family Formation"
688183000,2.06448364257812,1,2,"Early Family Formation"
688446000,1.0742312669754,1,1,"Persistent Single"
689292000,0.917388260364532,1,1,"Persistent Single"
690097000,1.235924243927,0,2,"Early Family Formation"
691481000,1.24056458473206,1,2,"Early Family Formation"
691537000,0.375453382730484,0,2,"Early Family Formation"
692427000,0.79666942358017,0,1,"Persistent Single"
692575000,1.50258994102478,1,4,"Late & Diverse Transitions"
693139000,2.12091851234436,1,5,"Delayed Union Formation"
693409000,2.36272382736206,0,2,"Early Family Formation"
695293000,0.744754552841187,0,2,"Early Family Formation"
695851000,0.566381335258484,0,1,"Persistent Single"
696374000,1.43689405918121,1,1,"Persistent Single"
696641000,3.026047706604,0,4,"Late & Diverse Transitions"
697357000,1.0325391292572,0,1,"Persistent Single"
698174000,1.91168093681335,0,2,"Early Family Formation"
698430000,1.16095340251923,1,4,"Late & Diverse Transitions"
698574000,1.32609808444977,0,2,"Early Family Formation"
700960000,0.357236683368683,0,3,"Stable Married, One Child"
701073000,1.09922015666962,1,2,"Early Family Formation"
701812000,0.787229955196381,1,2,"Early Family Formation"
705087000,0.885551035404205,0,2,"Early Family Formation"
706007000,0.595874309539795,0,5,"Delayed Union Formation"
706494000,1.69913375377655,1,1,"Persistent Single"
706868000,1.36191487312317,0,2,"Early Family Formation"
707993000,3.59427189826965,0,2,"Early Family Formation"
708905000,0.421018332242966,1,4,"Late & Diverse Transitions"
708951000,2.01323175430298,0,3,"Stable Married, One Child"
709089000,1.36100375652313,1,2,"Early Family Formation"
710208000,1.79182755947113,0,2,"Early Family Formation"
710638000,2.07880854606628,0,1,"Persistent Single"
711427000,0.77388322353363,1,1,"Persistent Single"
712608000,1.03558647632599,1,2,"Early Family Formation"
712617000,0.531577050685883,1,4,"Late & Diverse Transitions"
713180000,0.853753983974457,0,3,"Stable Married, One Child"
713749000,1.44695353507996,0,1,"Persistent Single"
714366000,1.50200533866882,1,2,"Early Family Formation"
714389000,1.14988577365875,0,5,"Delayed Union Formation"
714969000,1.72256994247437,0,1,"Persistent Single"
715668000,4.5177059173584,1,5,"Delayed Union Formation"
715938000,0.450628191232681,0,4,"Late & Diverse Transitions"
716605000,0.596258521080017,0,4,"Late & Diverse Transitions"
716834000,0.821019649505615,1,5,"Delayed Union Formation"
718037000,0.890023112297058,1,1,"Persistent Single"
718467000,1.35990703105927,1,2,"Early Family Formation"
718490000,0.619520425796509,0,5,"Delayed Union Formation"
718878000,1.06339299678802,0,1,"Persistent Single"
719709000,1.27570259571075,1,5,"Delayed Union Formation"
721130000,2.02294540405273,1,5,"Delayed Union Formation"
721931000,1.17147982120514,0,2,"Early Family Formation"
722361000,4.26226663589478,0,2,"Early Family Formation"
724833000,2.10150146484375,0,1,"Persistent Single"
726751000,0.762099742889404,0,4,"Late & Diverse Transitions"
727230000,2.11779761314392,0,5,"Delayed Union Formation"
727442000,2.05974507331848,0,4,"Late & Diverse Transitions"
727745000,1.0761547088623,0,2,"Early Family Formation"
728350000,0.856086373329163,0,4,"Late & Diverse Transitions"
728559000,0.959926247596741,1,5,"Delayed Union Formation"
