ID,cohort,s1,pss1,start1,s2,pss2,start2,s3,pss3,start3,s4,pss4,start4,s5,pss5,start5,s6,pss6,start6,s7,pss7,start7,s8,pss8,start8
Fall 57,Fall,M,2.0,2020-09-07,M,2.0,2020-09-14,M,1.75,2020-09-21,H,2.75,2020-10-01,M,2.0,2020-10-06,M,1.5,2020-10-12,M,1.75,2020-10-21,M,1.5,2020-10-26
Fall 58,Fall,L,0.5,2020-09-07,M,1.75,2020-09-14,M,1.5,2020-09-29,M,1.75,2020-10-07,M,2.25,2020-10-12,M,1.75,2020-10-19,M,2.0,2020-10-28,M,1.75,2020-11-03
Fall 59,Fall,L,0.5,2020-09-07,L,1.0,2020-09-14,L,0.75,2020-09-21,L,1.25,2020-09-28,L,1.0,2020-10-05,L,1.0,2020-10-12,M,2.0,2020-10-19,L,1.0,2020-10-26
Fall 60,Fall,M,1.5,2020-09-07,M,2.0,2020-09-14,M,2.0,2020-09-21,M,1.75,2020-09-28,M,2.0,2020-10-08,M,1.75,2020-10-13,M,1.75,2020-10-21,L,1.25,2020-10-27
Fall 61,Fall,L,0.75,2020-09-07,L,0.75,2020-09-14,L,0.5,2020-09-21,L,0.5,2020-09-28,L,0.0,2020-10-05,L,0.25,2020-10-12,L,0.5,2020-10-19,L,0.25,2020-10-27
Fall 62,Fall,M,2.0,2020-09-07,M,1.75,2020-09-14,M,1.75,2020-09-21,M,1.75,2020-09-28,M,1.5,2020-10-05,M,1.5,2020-10-12,M,1.5,2020-10-19,M,2.0,2020-10-26
Fall 63,Fall,M,2.25,2020-09-07,H,3.0,2020-09-14,M,2.25,2020-09-21,H,2.75,2020-09-29,H,2.5,2020-10-08,H,3.0,2020-10-15,H,3.0,2020-10-26,H,3.0,2020-11-02
Fall 64,Fall,M,1.5,2020-09-07,M,1.5,2020-09-14,L,0.75,2020-09-28,L,1.0,2020-10-05,L,0.75,2020-10-12,L,0.5,2020-10-19,L,1.0,2020-10-27,L,0.75,2020-11-02
Fall 68,Fall,L,1.0,2020-09-07,L,1.25,2020-09-15,L,1.25,2020-09-28,L,1.25,2020-10-06,L,1.25,2020-10-12,L,1.25,2020-10-19,L,0.75,2020-10-27,L,0.75,2020-11-02
Fall 70,Fall,L,1.25,2020-09-07,M,1.75,2020-09-14,M,1.5,2020-09-28,M,2.0,2020-10-04,L,1.0,2020-10-11,L,0.5,2020-10-12,L,0.75,2020-10-19,L,1.0,2020-10-26
Fall 73,Fall,M,2.0,2020-09-07,H,2.75,2020-09-14,M,1.75,2020-09-28,H,2.5,2020-10-05,M,2.0,2020-10-12,M,2.25,2020-10-20,H,2.5,2020-10-26,H,2.5,2020-11-02
Fall 75,Fall,H,2.5,2020-09-08,M,2.25,2020-09-14,M,1.75,2020-09-29,H,2.5,2020-10-05,H,2.75,2020-10-12,H,2.5,2020-10-20,M,2.25,2020-10-27,L,1.25,2020-11-02
Fall 79,Fall,M,2.0,2020-09-08,H,2.5,2020-09-14,M,2.0,2020-10-06,M,2.25,2020-10-12,M,2.25,2020-10-22,H,2.75,2020-10-26,H,3.0,2020-11-18,H,2.5,2020-11-23
Fall 81,Fall,M,2.25,2020-09-07,H,3.25,2020-09-14,H,2.75,2020-09-21,M,2.0,2020-09-28,H,4.0,2020-10-07,H,2.5,2020-10-17,M,2.25,2020-10-26,H,3.0,2020-11-06
Fall 84,Fall,M,1.75,2020-09-08,L,1.0,2020-09-14,L,1.0,2020-09-29,L,0.75,2020-10-05,M,1.75,2020-10-12,L,1.25,2020-10-21,L,1.0,2020-10-26,L,0.75,2020-11-02
Fall 86,Fall,M,2.25,2020-09-08,M,2.25,2020-09-15,H,2.5,2020-09-28,M,2.0,2020-10-01,M,2.0,2020-10-02,M,2.0,2020-10-03,M,2.0,2020-10-05,M,2.0,2020-10-07
Fall 88,Fall,L,1.0,2020-09-08,L,0.75,2020-09-14,L,1.25,2020-09-28,M,1.5,2020-10-05,M,1.5,2020-10-12,L,0.5,2020-10-19,L,1.0,2020-10-26,L,0.5,2020-10-27
Fall 89,Fall,L,0.25,2020-09-07,L,1.25,2020-09-14,M,1.5,2020-09-21,M,1.75,2020-09-28,M,2.25,2020-10-05,H,2.75,2020-10-12,H,2.5,2020-10-19,M,2.25,2020-10-27
Fall 91,Fall,M,2.25,2020-09-28,M,1.75,2020-10-05,L,1.0,2020-10-12,L,1.25,2020-10-19,M,1.5,2020-10-27,L,1.25,2020-11-02,L,1.25,2020-11-09,M,1.75,2020-11-16
Fall 93,Fall,L,0.5,2020-09-28,L,1.0,2020-10-07,L,0.0,2020-10-12,L,0.0,2020-10-21,L,0.0,2020-10-26,L,1.25,2020-11-03,L,0.25,2020-11-16,L,1.0,2020-11-23
Fall 95,Fall,M,1.75,2020-10-01,M,1.5,2020-10-05,L,1.25,2020-10-12,M,2.0,2020-10-19,L,1.25,2020-10-26,L,0.75,2020-11-02,L,1.25,2020-11-16,L,1.0,2020-11-23
Fall 96,Fall,M,1.5,2020-09-28,M,2.25,2020-10-05,M,1.75,2020-10-12,M,2.0,2020-10-19,M,2.0,2020-10-26,M,2.0,2020-11-02,H,2.75,2020-11-23,M,2.25,2020-12-10
