"activity1","activity13","activity25","activity37","activity49","activity61","activity73","activity85","activity97","activity109","activity121","activity133","activity145","activity157","activity169","activity181","activity193","activity205","activity217","activity229","activity241","activity253"
"EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","MARGINAL","MARGINAL","PT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","SELF"
"EDU","EDU","FT","FT","FT","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","SELF"
"EDU","MIL/CS","MIL/CS","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","FT","FT","FT","FT","UNEMP","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","UNEMP","PLEAVE","PLEAVE","UNEMP","UNEMP","UNEMP","UNEMP","UNEMP"
"EDU","EDU","EDU","MIL/CS","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
